Brand,Product Name,Product URL,Image URL,Description,Price,Category
Clinique,Superbalanced™ Makeup,https://www.notino.co.uk/clinique/superbalanced-liquid-foundation/,https://cdn.notinoimg.com/list_2k/clinique/192333074282_01-o.jpg,silky smooth foundation,22.60,foundation
Physicians Formula,Mineral Wear®,https://www.notino.co.uk/physicians-formula/mineral-wear-loose-mineral-powder-foundation-spf-15/,https://cdn.notinoimg.com/list_2k/physicians-formula/44386109490_01-o.jpg,loose mineral powder foundation,9.60,foundation
La Prairie,Skin Caviar Concealer Foundation,https://www.notino.co.uk/la-prairie/skin-caviar-foundation-and-concealer-spf-15/,https://cdn.notinoimg.com/list_2k/la-prairie/7611773052689_01-o__25.jpg,foundation and concealer SPF 15,178.30,foundation
ARTDECO,Rich Treatment Foundation,https://www.notino.co.uk/artdeco/rich-treatment-cover-make-up/,https://cdn.notinoimg.com/list_2k/artdeco/4019674485125_01-o__30.jpg,illuminating creamy foundation,11.80,foundation
ARTDECO,Pure Minerals Hydra Compact Foundation,https://www.notino.co.uk/artdeco/hydra-mineral-hydrating-foundation-refill/,https://cdn.notinoimg.com/list_2k/artdeco/4019674407608_01-o__29.jpg,compact powder foundation refill,9.40,foundation
Elizabeth Arden,Flawless Finish Sponge-On Cream Makeup,https://www.notino.co.uk/elizabeth-arden/flawless-finish-compact-foundation-with-applicator/,https://cdn.notinoimg.com/list_2k/elizabeth-arden/085805127756_01-o__25.jpg,compact foundation,17.60,foundation
Clinique,Beyond Perfecting™ Foundation + Concealer,https://www.notino.co.uk/clinique/beyond-perfecting-foundation-and-concealer-2-in-1/,https://cdn.notinoimg.com/list_2k/clinique/20714711894_01-o__19.jpg,foundation and concealer 2-in-1,25.50,foundation
Académie Scientifique de Beauté,Complexion,https://www.notino.co.uk/academie/make-up-regenerating-treatment-foundation-liquid-foundation-with-moisturizing-effect/,https://cdn.notinoimg.com/list_2k/academie/3145079118038_01-o__20.jpg,liquid foundation with moisturising effect,30.50,foundation
GUERLAIN,Parure Gold Radiance Powder Foundation,https://www.notino.co.uk/guerlain/parure-gold/,https://cdn.notinoimg.com/list_2k/guerlain/3346470420403_01__14.jpg,compact powder foundation refill SPF 15,44.00,foundation
Avon,True Colour,https://www.notino.co.uk/avon/true-colour-soothing-foundation-for-a-matte-look/,https://cdn.notinoimg.com/list_2k/avon/33084_01-o__19.jpg,soothing foundation for a matt look shade Cream 30 ml,6.90,foundation
Avon,True Colour,https://www.notino.co.uk/avon/true-colour-soothing-foundation-with-brightening-effect/,https://cdn.notinoimg.com/list_2k/avon/2800012631104_01-o__17.jpg,soothing foundation with a brightening effect,5.20,foundation
ARTDECO,Sun,https://www.notino.co.uk/artdeco/sun-protection/,https://cdn.notinoimg.com/list_2k/artdeco/4052136057959_01-o__5.jpg,compact foundation refill SPF 50 shade 90 Light Sand 9.5 g,10.10,foundation
L’Oréal Paris,Infaillible 32H Fresh Wear,https://www.notino.co.uk/loreal-paris/infaillible-long-lasting-liquid-foundation/,https://cdn.notinoimg.com/list_2k/loreal-paris/3600523640195_01-o__3.jpg,long-lasting liquid foundation,12.40,foundation
Vichy,Minéralblend,https://www.notino.co.uk/vichy/mineralblend/,https://cdn.notinoimg.com/list_2k/vichy/3337875641890_01-o__3.jpg,natural coverage hydrating foundation,19.48,foundation
Lumene,Blur 16h Longwear,https://www.notino.co.uk/lumene/blur-16h-longwear-foundation-long-lasting-foundation-spf-15/,https://cdn.notinoimg.com/list_2k/lumene/6412600834604_01-o.jpg,long-lasting foundation SPF 15,11.60,foundation
Bourjois,Always Fabulous,https://www.notino.co.uk/bourjois/always-fabulous-long-lasting-foundation-spf-20/,https://cdn.notinoimg.com/list_2k/bourjois/3614228413404_01-o.jpg,long-lasting foundation SPF 20,7.20,foundation
Maybelline,SuperStay Active Wear,https://www.notino.co.uk/maybelline/superstay-active-wear-long-lasting-foundation-for-full-coverage/,https://cdn.notinoimg.com/list_2k/maybelline/3600531632342_01-o.jpg,long-lasting foundation for full coverage,10.20,foundation
